"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2c_sens_init_fear"
"05/06/2026 16:06:33:539 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"61","300","0.4","0.35","0.5","0.3","0.2","0.05","300","63966","9383","54583","0.8533126973704781","9383","6595","0.7997782844052026","0.92790032565453"
"60","300","0.4","0.3","0.5","0.3","0.2","0.05","300","68644","10250","58394","0.8506788648680147","10250","7213","0.7873345604685135","0.9857528430961088"
"65","300","0.4","0.35","0.5","0.3","0.2","0.05","300","65173","9465","55708","0.8547711475611066","9465","6641","0.7900407104921838","0.9461711485967701"
"59","300","0.4","0.3","0.5","0.3","0.2","0.05","300","70005","10338","59667","0.8523248339404328","10338","7238","0.7894680106425572","0.9840605169802901"
"68","300","0.4","0.35","0.5","0.3","0.2","0.05","300","66048","9539","56509","0.8555747335271318","9539","6700","0.8124570417009173","0.9570817164285059"
"66","300","0.4","0.35","0.5","0.3","0.2","0.05","300","63505","9288","54217","0.8537437997008109","9288","6557","0.8105655096844643","0.9249120112809311"
"69","300","0.4","0.35","0.5","0.3","0.2","0.05","300","64533","9461","55072","0.8533928377729224","9461","6638","0.7978048898249613","0.9438026561994591"
"44","300","0.4","0.25","0.5","0.3","0.2","0.05","300","73629","11303","62326","0.8464871178475872","11303","7986","0.8005556505180867","1"
"36","300","0.4","0.2","0.5","0.3","0.2","0.05","300","75717","12108","63609","0.8400887515353224","12108","8570","0.7756977348741121","1"
"67","300","0.4","0.35","0.5","0.3","0.2","0.05","300","64351","9427","54924","0.8535065500147628","9427","6622","0.807980905291665","0.9290350398332324"
"64","300","0.4","0.35","0.5","0.3","0.2","0.05","300","65457","9475","55982","0.8552484837374154","9475","6627","0.8059253326630927","0.9452451230900186"
"70","300","0.4","0.35","0.5","0.3","0.2","0.05","300","64597","9395","55202","0.8545598092790687","9395","6577","0.7951724871570193","0.9338443799413453"
"71","300","0.4","0.4","0.5","0.3","0.2","0.05","300","58472","8394","50078","0.8564441100013682","8394","5917","0.811471669056692","0.8114600036141123"
"63","300","0.4","0.35","0.5","0.3","0.2","0.05","300","64586","9419","55167","0.8541634409934041","9419","6648","0.8090890728175262","0.9496189830444788"
"46","300","0.4","0.25","0.5","0.3","0.2","0.05","300","74860","11470","63390","0.8467806572268234","11470","7976","0.7810351769208564","0.9993848127379412"
"72","300","0.4","0.4","0.5","0.3","0.2","0.05","300","59070","8495","50575","0.856187574064669","8495","5993","0.797687928304659","0.8148973696650482"
"73","300","0.4","0.4","0.5","0.3","0.2","0.05","300","58920","8509","50411","0.8555838424983028","8509","5927","0.8005474144234587","0.8194669351758045"
"74","300","0.4","0.4","0.5","0.3","0.2","0.05","300","59208","8516","50692","0.8561680853938657","8516","5945","0.7869743412905701","0.8251008412141164"
"75","300","0.4","0.4","0.5","0.3","0.2","0.05","300","58608","8429","50179","0.8561800436800436","8429","5892","0.80955480355621","0.8091030832632323"
"77","300","0.4","0.4","0.5","0.3","0.2","0.05","300","59400","8568","50832","0.8557575757575757","8568","5951","0.8045686663109737","0.8313776219438939"
"76","300","0.4","0.4","0.5","0.3","0.2","0.05","300","58119","8412","49707","0.8552624787074795","8412","5887","0.8002443854755842","0.7972030990310567"
"78","300","0.4","0.4","0.5","0.3","0.2","0.05","300","58984","8441","50543","0.8568933948189339","8441","5902","0.7994565065373055","0.8205035596457037"
"81","300","0.4","0.45","0.5","0.3","0.2","0.05","300","54034","7491","46543","0.8613650664396492","7491","5261","0.7963174589987817","0.6803603247352585"
"85","300","0.4","0.45","0.5","0.3","0.2","0.05","300","53862","7503","46359","0.860699565556422","7503","5226","0.793885825129017","0.6827218622939594"
"83","300","0.4","0.45","0.5","0.3","0.2","0.05","300","54215","7510","46705","0.8614774508899751","7510","5262","0.783256255349771","0.6723531667921478"
"84","300","0.4","0.45","0.5","0.3","0.2","0.05","300","54095","7490","46605","0.8615398835382198","7490","5278","0.7877202000400692","0.6849799872533108"
"93","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50738","6695","44043","0.8680476171705624","6695","4641","0.7938772389230615","0.6104584387218085"
"86","300","0.4","0.45","0.5","0.3","0.2","0.05","300","54218","7515","46703","0.8613928953484082","7515","5220","0.7983189905462059","0.6862127573453226"
"92","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50727","6567","44160","0.8705423147436276","6567","4622","0.7866893655403866","0.598781974264745"
"82","300","0.4","0.45","0.5","0.3","0.2","0.05","300","52754","7293","45461","0.8617545588960079","7293","5148","0.7929907673023289","0.6574357411657982"
"90","300","0.4","0.45","0.5","0.3","0.2","0.05","300","53940","7550","46390","0.8600296625880608","7550","5318","0.796574418606911","0.694897386490456"
"88","300","0.4","0.45","0.5","0.3","0.2","0.05","300","54456","7478","46978","0.8626781254590863","7478","5300","0.8011043164671352","0.6900971001609896"
"80","300","0.4","0.4","0.5","0.3","0.2","0.05","300","58841","8426","50415","0.856800530242518","8426","5877","0.8043622011599761","0.815793430475589"
"79","300","0.4","0.4","0.5","0.3","0.2","0.05","300","57815","8350","49465","0.8555738130243017","8350","5883","0.7960378183596882","0.7972903527724927"
"94","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50784","6629","44155","0.8694667611846251","6629","4668","0.7876715069373684","0.5970349344944613"
"87","300","0.4","0.45","0.5","0.3","0.2","0.05","300","54060","7416","46644","0.862819089900111","7416","5218","0.7757359109710427","0.6762076604394047"
"89","300","0.4","0.45","0.5","0.3","0.2","0.05","300","53947","7524","46423","0.8605297792277605","7524","5258","0.7856711675706349","0.6792790967340793"
"95","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50920","6621","44299","0.8699725058915947","6621","4661","0.7941728579116992","0.605099134480144"
"91","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50557","6699","43858","0.8674960935182072","6699","4628","0.8015189749350425","0.6141692325097726"
"96","300","0.4","0.5","0.5","0.3","0.2","0.05","300","50465","6520","43945","0.8708015456256811","6520","4613","0.7913615829819396","0.6000640883105861"
