"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2a_sens_employees"
"05/06/2026 16:05:47:849 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"48","250","0.4","0.3","0.5","0.3","0.2","0.05","300","52138","8998","43140","0.8274195404503433","8998","6228","0.7593865750134398","0.9033283531751651"
"63","400","0.4","0.3","0.5","0.3","0.2","0.05","300","102683","12626","90057","0.8770390424899934","12626","8891","0.8244041251562286","1"
"61","400","0.4","0.3","0.5","0.3","0.2","0.05","300","101504","12629","88875","0.8755812578814628","12629","8829","0.8149665036443582","1"
"40","200","0.4","0.3","0.5","0.3","0.2","0.05","300","36484","7264","29220","0.8008990242297994","7264","5114","0.6967592996984027","0.6956229363146609"
"65","400","0.4","0.3","0.5","0.3","0.2","0.05","300","100935","12518","88417","0.8759795908257789","12518","8729","0.8158827493085887","1"
"64","400","0.4","0.3","0.5","0.3","0.2","0.05","300","102730","12605","90125","0.8772997177066095","12605","8848","0.8206089945730443","1"
"42","250","0.4","0.3","0.5","0.3","0.2","0.05","300","53051","8995","44056","0.8304461744359202","8995","6311","0.75864239930048","0.9278325056321569"
"66","400","0.4","0.3","0.5","0.3","0.2","0.05","300","102078","12601","89477","0.8765551832912086","12601","8848","0.8239421466761471","1"
"46","250","0.4","0.3","0.5","0.3","0.2","0.05","300","52697","8939","43758","0.8303698502761068","8939","6297","0.7699955223602252","0.9004345113393667"
"67","400","0.4","0.3","0.5","0.3","0.2","0.05","300","102007","12624","89383","0.8762437871910751","12624","8808","0.8269512234807023","1"
"43","250","0.4","0.3","0.5","0.3","0.2","0.05","300","51903","8924","42979","0.8280638884072211","8924","6247","0.7623963260633257","0.8968108835609072"
"70","400","0.4","0.3","0.5","0.3","0.2","0.05","300","102684","12658","90026","0.8767286042616181","12658","8878","0.8322258758511544","1"
"69","400","0.4","0.3","0.5","0.3","0.2","0.05","300","102313","12532","89781","0.8775131214997117","12532","8820","0.8175771844133617","1"
"68","400","0.4","0.3","0.5","0.3","0.2","0.05","300","103034","12724","90310","0.8765067841683328","12724","8841","0.8174881572412674","1"
