"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2e_sens_drift_speed"
"05/06/2026 16:08:01:909 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"56","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45469","16447","29022","0.6382810266335306","16447","11564","0.4934762340080058","0.5043781066228128"
"57","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45116","16409","28707","0.6362931110914088","16409","11489","0.5165867521988006","0.5182359680387082"
"58","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45564","16482","29082","0.6382670529365289","16482","11505","0.4995624736151882","0.5135614461004185"
"50","300","0.4","0.3","0.5","0.3","0.2","0.15","300","48296","15842","32454","0.6719811164485672","15842","10983","0.5394606985573357","0.5548618350783503"
"60","300","0.4","0.3","0.5","0.3","0.2","0.18","300","46101","16621","29480","0.6394655213552851","16621","11637","0.5158432338795141","0.5183620034327011"
"53","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45282","16438","28844","0.6369859988516409","16438","11423","0.49060532150101666","0.505068548271683"
"61","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44428","17249","27179","0.6117538489241019","17249","11968","0.4857233185828082","0.4988760408743774"
"54","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45714","16496","29218","0.6391477446734042","16496","11454","0.4942409863631851","0.5043035616897446"
"63","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44197","16918","27279","0.6172138380433061","16918","11896","0.48124877148713313","0.49684256506200714"
"62","300","0.4","0.3","0.5","0.3","0.2","0.21","300","43610","16906","26704","0.612336620041275","16906","11941","0.48418038501538246","0.490527021856475"
"65","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44217","16990","27227","0.6157586448650971","16990","11916","0.47813430023882425","0.49349127088636424"
"64","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44136","17005","27131","0.6147136124705456","17005","11950","0.48042350708594145","0.4922223206079193"
"59","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45257","16357","28900","0.6385752480279294","16357","11349","0.49896077426393465","0.5190510583165275"
"66","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44484","17347","27137","0.6100395647873392","17347","12097","0.4802187590883654","0.4945986977191413"
"67","300","0.4","0.3","0.5","0.3","0.2","0.21","300","43819","16899","26920","0.6143453752938223","16899","11979","0.4856565216720885","0.4943979780794496"
"55","300","0.4","0.3","0.5","0.3","0.2","0.18","300","45844","16370","29474","0.6429194660151819","16370","11455","0.5109837468347861","0.5088100740608016"
"68","300","0.4","0.3","0.5","0.3","0.2","0.21","300","43627","16993","26634","0.6104935017305797","16993","12034","0.47079932296472304","0.49091315732232316"
"70","300","0.4","0.3","0.5","0.3","0.2","0.21","300","44095","16985","27110","0.6148089352534301","16985","11914","0.4729560562557456","0.4942086175522367"
"69","300","0.4","0.3","0.5","0.3","0.2","0.21","300","43959","16955","27004","0.6142996883459587","16955","11893","0.4752024342625586","0.49113551864624944"
"75","300","0.4","0.3","0.5","0.3","0.2","0.24","300","43072","17505","25567","0.5935874814264487","17505","12247","0.4601276260833216","0.4761151517748624"
"72","300","0.4","0.3","0.5","0.3","0.2","0.24","300","42834","17537","25297","0.5905822477471168","17537","12414","0.4523003226105802","0.4789547237356843"
"73","300","0.4","0.3","0.5","0.3","0.2","0.24","300","42734","17520","25214","0.5900219965367155","17520","12303","0.45345955286203404","0.4767468390184383"
"74","300","0.4","0.3","0.5","0.3","0.2","0.24","300","43088","17574","25514","0.592137021908652","17574","12293","0.4608992668846854","0.4826914817566052"
"71","300","0.4","0.3","0.5","0.3","0.2","0.24","300","42796","17368","25428","0.5941676792223572","17368","12296","0.46745967280248985","0.4785340802698981"
"76","300","0.4","0.3","0.5","0.3","0.2","0.24","300","43221","17734","25487","0.5896901968950279","17734","12404","0.45517568415871","0.479984497019019"
"80","300","0.4","0.3","0.5","0.3","0.2","0.24","300","43366","17646","25720","0.5930913618964165","17646","12327","0.45422085634112835","0.48346413180131625"
"82","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42089","18045","24044","0.5712656513578369","18045","12636","0.445071973223594","0.47220203231019153"
"79","300","0.4","0.3","0.5","0.3","0.2","0.24","300","43003","17524","25479","0.5924935469618399","17524","12335","0.45541033674009196","0.480411598327589"
"81","300","0.4","0.3","0.5","0.3","0.2","0.27","300","41996","17827","24169","0.575507191161063","17827","12571","0.44088110952586573","0.4666719267865693"
"78","300","0.4","0.3","0.5","0.3","0.2","0.24","300","43053","17684","25369","0.5892504587369056","17684","12424","0.4641917414669632","0.4811977012330849"
"77","300","0.4","0.3","0.5","0.3","0.2","0.24","300","43425","17725","25700","0.5918249856073691","17725","12379","0.45278012461717887","0.4815737635481652"
"83","300","0.4","0.3","0.5","0.3","0.2","0.27","300","41890","17976","23914","0.5708761040821199","17976","12658","0.4462727623244883","0.47131630813614656"
"84","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42413","17977","24436","0.5761441067597199","17977","12628","0.4291035057970553","0.46509328561238705"
"86","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42089","18039","24050","0.5714082064197297","18039","12652","0.42758698275582685","0.46877942861802885"
"85","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42341","18011","24330","0.5746203443470868","18011","12669","0.44369237328767536","0.47624333923987316"
"88","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42425","18240","24185","0.5700648202710666","18240","12650","0.44378820662263724","0.4703950053982797"
"87","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42266","18083","24183","0.5721620214829887","18083","12578","0.45257347962761024","0.47202391635726115"
"89","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42563","18136","24427","0.5739022155393182","18136","12731","0.452726047977956","0.47578574889279374"
"95","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41553","18358","23195","0.5582027771761365","18358","12927","0.43381240471131177","0.4678403438200868"
"91","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41754","18431","23323","0.5585812137759256","18431","12862","0.4100806761474159","0.45894600889068565"
"90","300","0.4","0.3","0.5","0.3","0.2","0.27","300","42832","18164","24668","0.5759245423982069","18164","12758","0.4490119267160327","0.4779811640642154"
"96","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41688","18489","23199","0.5564910765687968","18489","12889","0.42319506199192464","0.4592647285907265"
"93","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41371","18402","22969","0.5551956684634164","18402","12842","0.4261129021543373","0.46159009700845427"
"99","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41222","18279","22943","0.5565717335403425","18279","12840","0.42625698530293427","0.46162743401455697"
"94","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41421","18370","23051","0.5565051543902851","18370","12912","0.41110988579077506","0.4562955764920335"
"92","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41339","18301","23038","0.5572945644548731","18301","12795","0.42948211529253283","0.4672541537470958"
"98","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41414","18447","22967","0.5545709180470373","18447","12904","0.4257887260421504","0.4647005342877258"
"97","300","0.4","0.3","0.5","0.3","0.2","0.3","300","41156","18295","22861","0.5554718631548256","18295","12781","0.42657479998785786","0.4581072969688038"
