"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2d_sens_response_strength"
"05/06/2026 16:07:01:745 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"65","300","0.4","0.3","0.5","0.3","0.35","0.05","300","79451","8077","71374","0.8983398572705189","8077","5642","0.8665838516802209","1"
"46","300","0.4","0.3","0.5","0.3","0.25","0.05","300","75275","9409","65866","0.8750049817336433","9409","6533","0.824484479234743","1"
"67","300","0.4","0.3","0.5","0.3","0.35","0.05","300","80284","8167","72117","0.8982736286184047","8167","5632","0.855092546473757","1"
"66","300","0.4","0.3","0.5","0.3","0.35","0.05","300","79398","8085","71313","0.8981712385702411","8085","5673","0.8634403924237246","1"
"69","300","0.4","0.3","0.5","0.3","0.35","0.05","300","80047","8098","71949","0.8988344347695729","8098","5677","0.8437324153497396","1"
"72","300","0.4","0.3","0.5","0.3","0.4","0.05","300","80920","7687","73233","0.905004943153732","7687","5402","0.8700631571131671","1"
"68","300","0.4","0.3","0.5","0.3","0.35","0.05","300","80224","8181","72043","0.8980230355005984","8181","5688","0.8669223540259808","1"
"70","300","0.4","0.3","0.5","0.3","0.35","0.05","300","79693","7993","71700","0.8997026087611208","7993","5657","0.8581177423363685","1"
"52","300","0.4","0.3","0.5","0.3","0.3","0.05","300","78168","8709","69459","0.888586122198342","8709","6099","0.8551333245020843","1"
"75","300","0.4","0.3","0.5","0.3","0.4","0.05","300","81243","7738","73505","0.9047548711889024","7738","5334","0.8720441813896601","1"
"74","300","0.4","0.3","0.5","0.3","0.4","0.05","300","81468","7704","73764","0.9054352629253204","7704","5480","0.8766157475738142","1"
"73","300","0.4","0.3","0.5","0.3","0.4","0.05","300","81176","7646","73530","0.9058095988962255","7646","5335","0.8740539372527287","1"
