"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp1_policy_grid"
"05/05/2026 00:18:33:888 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","response-strength","drift-speed","punishment-value","reporter-protection","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"83","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5472","4724","748","0.13669590643274854","4724","1849","0.3396129846828157","0.060985705419907874"
"86","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5475","4713","762","0.13917808219178082","4713","1847","0.33772664126581947","0.059238032151023565"
"88","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5497","4731","766","0.139348735674004","4731","1910","0.3373915515761357","0.06312747352296932"
"87","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5507","4698","809","0.14690394043944072","4698","1888","0.338122124320855","0.05834334063922435"
"91","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4814","4237","577","0.11985874532613211","4237","1442","0.3295533593506121","0.044609747956808964"
"90","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5507","4713","794","0.14418013437443253","4713","2000","0.34392917123632344","0.049264529202968636"
"93","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4790","4272","518","0.1081419624217119","4272","1484","0.3255143500445579","0.04922693312237929"
"94","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4771","4260","511","0.10710542863131418","4260","1532","0.3248092868207444","0.055058686689781006"
"89","300","0.4","0.3","0.2","0.05","0.2","0.6","300","5467","4748","719","0.13151637095299068","4748","1834","0.3382147083697224","0.05816354135963557"
"95","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4736","4254","482","0.10177364864864864","4254","1443","0.3238203204776106","0.045814739741980845"
"96","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4793","4267","526","0.10974337575631128","4267","1477","0.3268986317227354","0.04941265733442855"
"101","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4272","3917","355","0.08309925093632958","3917","1160","0.31796511324186344","0.03735346649313116"
"97","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4772","4261","511","0.10708298407376363","4261","1481","0.3249806277128502","0.051662648845208145"
"92","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4785","4276","509","0.1063740856844305","4276","1470","0.3265760324146756","0.052384182337177614"
"98","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4721","4227","494","0.1046388477017581","4227","1476","0.3271155121434685","0.0554153897824845"
"99","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4771","4290","481","0.1008174386920981","4290","1526","0.3290506513191974","0.04958918130526692"
"103","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4321","3951","370","0.08562832677620921","3951","1213","0.318344252465334","0.04181624362986809"
"100","300","0.4","0.3","0.2","0.05","0.2","0.65","300","4751","4244","507","0.10671437592085876","4244","1498","0.3244806158278008","0.05259432438758229"
"102","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4325","3961","364","0.08416184971098266","3961","1187","0.3166963459448406","0.039999019879530945"
"107","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4301","3948","353","0.08207393629388514","3948","1171","0.3162661289349413","0.03987713333768251"
"111","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3935","3694","241","0.06124523506988564","3694","930","0.3120021872114394","0.033297024660569566"
"106","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4310","3973","337","0.07819025522041763","3973","1183","0.3164544171687305","0.0386328079779674"
"104","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4269","3902","367","0.08596861091590537","3902","1160","0.3182953195253819","0.04826494950736786"
"109","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4311","3952","359","0.08327534214799351","3952","1203","0.3176032210856655","0.046524567275591136"
"110","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4264","3905","359","0.08419324577861163","3905","1191","0.31879650764047573","0.03794874897201435"
"105","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4336","3967","369","0.08510147601476015","3967","1203","0.31652624995980766","0.03911303860030971"
"108","300","0.4","0.3","0.2","0.05","0.2","0.7","300","4278","3949","329","0.07690509583917718","3949","1192","0.31782281101453064","0.038457098040302264"
"116","300","0.4","0.3","0.2","0.05","0.2","0.75","300","4014","3742","272","0.06776283009466866","3742","920","0.3119656149032303","0.04237804051687058"
"115","300","0.4","0.3","0.2","0.05","0.2","0.75","300","3974","3714","260","0.06542526421741318","3714","955","0.313845374082514","0.038936148509450014"
