"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2c_sens_init_fear"
"05/05/2026 00:26:43:436 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"72","300","0.4","0.4","0.5","0.3","0.2","0.05","300","71234","9044","62190","0.8730381559367718","9044","6296","0.8324848277747008","0.9980310093860367"
"67","300","0.4","0.35","0.5","0.3","0.2","0.05","300","74546","9929","64617","0.8668070721433746","9929","6882","0.8104518883164996","0.9992083896091013"
"59","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77467","10768","66699","0.8609988769411492","10768","7564","0.7941851303873051","1"
"70","300","0.4","0.35","0.5","0.3","0.2","0.05","300","74925","10058","64867","0.8657590924257591","10058","6972","0.8191627563801037","1"
"69","300","0.4","0.35","0.5","0.3","0.2","0.05","300","75158","9988","65170","0.8671066287022007","9988","6946","0.8163459238903372","1"
"73","300","0.4","0.4","0.5","0.3","0.2","0.05","300","70014","8995","61019","0.8715256948610278","8995","6281","0.8237565409518907","0.9971487469051198"
"75","300","0.4","0.4","0.5","0.3","0.2","0.05","300","71246","8986","62260","0.8738736209752126","8986","6261","0.8096222606599539","0.9968633192853923"
"76","300","0.4","0.4","0.5","0.3","0.2","0.05","300","71072","9083","61989","0.8722000225123818","9083","6332","0.8357034348192435","0.9958874533576408"
"79","300","0.4","0.4","0.5","0.3","0.2","0.05","300","70035","8940","61095","0.8723495395159563","8940","6347","0.8290293509029458","0.994489462931845"
"77","300","0.4","0.4","0.5","0.3","0.2","0.05","300","71031","9101","61930","0.8718728442511017","9101","6374","0.8370239167440819","0.9983417707785684"
"81","300","0.4","0.45","0.5","0.3","0.2","0.05","300","65746","8109","57637","0.8766616980500714","8109","5622","0.8365297077673475","0.9567871450874412"
"82","300","0.4","0.45","0.5","0.3","0.2","0.05","300","65227","8089","57138","0.8759869379244791","8089","5724","0.8322827692777307","0.9509361589048095"
"78","300","0.4","0.4","0.5","0.3","0.2","0.05","300","71844","9136","62708","0.8728355882189188","9136","6342","0.8381766149597265","0.9978435378828724"
"83","300","0.4","0.45","0.5","0.3","0.2","0.05","300","64380","8039","56341","0.8751320285803045","8039","5651","0.8457523015778977","0.942810107745274"
"84","300","0.4","0.45","0.5","0.3","0.2","0.05","300","64083","8006","56077","0.8750682708362593","8006","5638","0.8319295622461984","0.9493862870409724"
"80","300","0.4","0.4","0.5","0.3","0.2","0.05","300","71120","9041","62079","0.8728768278965129","9041","6323","0.829004233416384","0.9959390434374072"
"86","300","0.4","0.45","0.5","0.3","0.2","0.05","300","65374","8047","57327","0.8769082509866307","8047","5650","0.8266985029688617","0.9533124928501174"
"87","300","0.4","0.45","0.5","0.3","0.2","0.05","300","64206","7979","56227","0.8757281250973429","7979","5605","0.8266635879151111","0.9472626054617101"
"88","300","0.4","0.45","0.5","0.3","0.2","0.05","300","65097","8076","57021","0.8759389833632887","8076","5673","0.8339899303399879","0.9590206702149761"
"85","300","0.4","0.45","0.5","0.3","0.2","0.05","300","65694","8198","57496","0.8752093037415898","8198","5689","0.8473242974702305","0.9669721930151629"
"74","300","0.4","0.4","0.5","0.3","0.2","0.05","300","72382","9105","63277","0.8742090575004835","9105","6353","0.8258698636771761","0.9969715159365652"
"89","300","0.4","0.45","0.5","0.3","0.2","0.05","300","64055","8030","56025","0.8746389821247366","8030","5638","0.8393504194191566","0.94675388886117"
"93","300","0.4","0.5","0.5","0.3","0.2","0.05","300","57943","7016","50927","0.8789154859085653","7016","4944","0.8278193278201355","0.802986927416815"
"90","300","0.4","0.45","0.5","0.3","0.2","0.05","300","65713","8170","57543","0.8756714805289668","8170","5701","0.8589376029705755","0.9575207423198837"
"91","300","0.4","0.5","0.5","0.3","0.2","0.05","300","59016","7090","51926","0.8798630879761421","7090","4945","0.832574996602108","0.8211310724592422"
"95","300","0.4","0.5","0.5","0.3","0.2","0.05","300","57857","7023","50834","0.8786145150975682","7023","4966","0.8403217315105814","0.8014667974928258"
"92","300","0.4","0.5","0.5","0.3","0.2","0.05","300","57562","6937","50625","0.8794864667662694","6937","4878","0.8112853227914198","0.7817628185396188"
"94","300","0.4","0.5","0.5","0.3","0.2","0.05","300","57267","7025","50242","0.877329002741544","7025","4931","0.8323413292292295","0.7826222113266498"
"96","300","0.4","0.5","0.5","0.3","0.2","0.05","300","56569","6883","49686","0.878325584684191","6883","4851","0.8315584928503887","0.7759648978796695"
"97","300","0.4","0.5","0.5","0.3","0.2","0.05","300","57769","7043","50726","0.878083401132095","7043","4896","0.8330568158578348","0.7967103205042623"
"98","300","0.4","0.5","0.5","0.3","0.2","0.05","300","59594","7167","52427","0.8797362150552069","7167","5030","0.8417682744044623","0.8453097274176568"
"102","300","0.4","0.55","0.5","0.3","0.2","0.05","300","54168","6301","47867","0.8836767094963817","6301","4394","0.8248435960968601","0.6781586962931944"
"101","300","0.4","0.55","0.5","0.3","0.2","0.05","300","53686","6246","47440","0.8836568192824945","6246","4359","0.8261713109230499","0.6829682869111013"
"100","300","0.4","0.5","0.5","0.3","0.2","0.05","300","58322","7062","51260","0.8789136175028291","7062","4970","0.8371765981113599","0.8119082248972406"
"103","300","0.4","0.55","0.5","0.3","0.2","0.05","300","52805","6149","46656","0.8835526938736862","6149","4295","0.8272394295732142","0.656652145197882"
"99","300","0.4","0.5","0.5","0.3","0.2","0.05","300","57552","6931","50621","0.8795697803725326","6931","4885","0.8219854508904048","0.790464994265438"
"106","300","0.4","0.55","0.5","0.3","0.2","0.05","300","52878","6158","46720","0.8835432505011536","6158","4305","0.8371671016769542","0.667025257427175"
"105","300","0.4","0.55","0.5","0.3","0.2","0.05","300","53321","6189","47132","0.8839294086757563","6189","4348","0.8297205347126685","0.66848638133322"
"104","300","0.4","0.55","0.5","0.3","0.2","0.05","300","53992","6312","47680","0.8830937916728404","6312","4439","0.8401135258334137","0.686098037952034"
"107","300","0.4","0.55","0.5","0.3","0.2","0.05","300","53891","6257","47634","0.8838952700822029","6257","4379","0.8148203075159748","0.6786501740846748"
"108","300","0.4","0.55","0.5","0.3","0.2","0.05","300","52936","6144","46792","0.8839353181199939","6144","4322","0.8297827232190855","0.6647553260820684"
"110","300","0.4","0.55","0.5","0.3","0.2","0.05","300","52344","6024","46320","0.88491517652453","6024","4234","0.8193728150553868","0.6446846247018321"
"111","300","0.4","0.6","0.5","0.3","0.2","0.05","300","50108","5450","44658","0.8912349325457013","5450","3762","0.8437974476680745","0.6041184938281807"
"109","300","0.4","0.55","0.5","0.3","0.2","0.05","300","53006","6205","46801","0.8829377806286081","6205","4387","0.8330536733142868","0.6670563690394883"
"115","300","0.4","0.6","0.5","0.3","0.2","0.05","300","50319","5440","44879","0.8918897434368728","5440","3827","0.8345112845843862","0.5981478509868089"
"114","300","0.4","0.6","0.5","0.3","0.2","0.05","300","49732","5400","44332","0.8914180004825867","5400","3806","0.8565352968983272","0.5971559066196546"
"117","300","0.4","0.6","0.5","0.3","0.2","0.05","300","50049","5424","44625","0.8916262063178085","5424","3798","0.8351963010048652","0.6000198605607502"
