"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2b_sens_init_propensity"
"05/05/2026 00:26:05:269 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"58","300","0.35","0.3","0.5","0.3","0.2","0.05","300","68683","10284","58399","0.8502686254240496","10284","7294","0.8084714451877595","0.994353856350192"
"59","300","0.35","0.3","0.5","0.3","0.2","0.05","300","68982","10238","58744","0.8515844713113566","10238","7293","0.8064535078942487","0.9900835226485185"
"57","300","0.35","0.3","0.5","0.3","0.2","0.05","300","69087","10275","58812","0.8512744800034738","10275","7236","0.7956491597641177","0.9944111342468733"
"60","300","0.35","0.3","0.5","0.3","0.2","0.05","300","69383","10272","59111","0.8519522073130306","10272","7196","0.7937477425971816","0.9947258784932065"
"61","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77148","10689","66459","0.8614481256805102","10689","7491","0.7981582397903965","1"
"62","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77375","10767","66608","0.8608465266558966","10767","7512","0.7809773514446693","1"
"63","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77140","10678","66462","0.861576354679803","10678","7517","0.7977275702767769","1"
"64","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77660","10819","66841","0.8606876126706156","10819","7522","0.7912853275462737","1"
"70","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77326","10690","66636","0.8617541318573313","10690","7592","0.8124500079971151","1"
"73","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81701","11032","70669","0.8649710529858876","11032","7709","0.8116166313895893","1"
"67","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77210","10723","66487","0.8611190260328973","10723","7473","0.8111171252127068","1"
"65","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77692","10786","66906","0.8611697472069196","10786","7566","0.812215580321375","1"
"66","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77229","10747","66482","0.8608424296572531","10747","7482","0.7782454312382441","1"
"69","300","0.4","0.3","0.5","0.3","0.2","0.05","300","78454","10879","67575","0.8613327555000383","10879","7564","0.7843249272470608","1"
"68","300","0.4","0.3","0.5","0.3","0.2","0.05","300","77223","10729","66494","0.8610647087007757","10729","7508","0.7992698192538753","1"
"76","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81809","11135","70674","0.8638902810204256","11135","7693","0.8051648298922731","1"
"75","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81923","11030","70893","0.8653613759261746","11030","7708","0.7994436878207871","1"
"71","300","0.45","0.3","0.5","0.3","0.2","0.05","300","82053","10961","71092","0.8664156094231777","10961","7688","0.7943133188130058","1"
"72","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81739","10986","70753","0.8655965940371182","10986","7707","0.800243754723632","1"
"77","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81884","11041","70843","0.8651629133896732","11041","7670","0.7939912336788884","1"
"78","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81896","10956","70940","0.8662205724333301","10956","7671","0.7944018200633464","1"
"80","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81894","11054","70840","0.8650206364324615","11054","7682","0.7850509424790975","1"
"74","300","0.45","0.3","0.5","0.3","0.2","0.05","300","81710","11065","70645","0.8645820584995717","11065","7724","0.7934455696719337","1"
"79","300","0.45","0.3","0.5","0.3","0.2","0.05","300","82307","11029","71278","0.8660016766496167","11029","7714","0.7997240746553916","1"
"81","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84624","11161","73463","0.8681107014558518","11161","7802","0.7928341612800368","1"
"84","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84661","11217","73444","0.8675068803817578","11217","7810","0.8120243362851854","1"
"82","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84538","11048","73490","0.8693132082613736","11048","7815","0.7962703457504469","1"
"83","300","0.5","0.3","0.5","0.3","0.2","0.05","300","83990","10905","73085","0.8701631146565068","10905","7697","0.7871290526960356","1"
"89","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84526","11193","73333","0.8675792063980313","11193","7811","0.807200328669821","1"
"85","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84822","11184","73638","0.8681474145858386","11184","7818","0.7868740869950861","1"
"86","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84430","11067","73363","0.8689209996446761","11067","7786","0.7869350963803773","1"
"87","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84636","11135","73501","0.8684365990831324","11135","7782","0.7885273291511273","1"
"90","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84477","11070","73407","0.8689584147164316","11070","7777","0.789493159121155","1"
"92","300","0.55","0.3","0.5","0.3","0.2","0.05","300","86086","11224","74862","0.8696187533396835","11224","7846","0.7832976071910716","1"
"93","300","0.55","0.3","0.5","0.3","0.2","0.05","300","86061","11097","74964","0.8710565761494754","11097","7820","0.7972277566397122","1"
"96","300","0.55","0.3","0.5","0.3","0.2","0.05","300","86345","11343","75002","0.8686316520933465","11343","7885","0.7841831004139257","1"
"95","300","0.55","0.3","0.5","0.3","0.2","0.05","300","86414","11171","75243","0.8707269655379916","11171","7873","0.7979587191789823","1"
"91","300","0.55","0.3","0.5","0.3","0.2","0.05","300","86334","11278","75056","0.8693678041096208","11278","7842","0.7876293865018852","1"
"88","300","0.5","0.3","0.5","0.3","0.2","0.05","300","84089","11192","72897","0.8669029242826053","11192","7805","0.8153508081064519","1"
