"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp2e_sens_drift_speed"
"05/05/2026 00:27:39:020 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-value","reporter-protection","response-strength","drift-speed","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"59","300","0.4","0.3","0.5","0.3","0.2","0.18","300","50572","17530","33042","0.65336549869493","17530","12304","0.5226205683623883","0.6020256419478016"
"64","300","0.4","0.3","0.5","0.3","0.2","0.21","300","47997","17984","30013","0.6253099152030335","17984","12500","0.49006617053128954","0.5589506815377526"
"63","300","0.4","0.3","0.5","0.3","0.2","0.21","300","47692","17915","29777","0.6243604797450306","17915","12441","0.49782731589041257","0.5553590474170682"
"68","300","0.4","0.3","0.5","0.3","0.2","0.21","300","47057","17735","29322","0.6231166457700236","17735","12511","0.4821804721565843","0.543480294538178"
"65","300","0.4","0.3","0.5","0.3","0.2","0.21","300","47944","17971","29973","0.625166861338228","17971","12576","0.4953203188159245","0.5596336884271341"
"67","300","0.4","0.3","0.5","0.3","0.2","0.21","300","47491","17928","29563","0.622496894148365","17928","12462","0.5005710670383021","0.5549144258428693"
"69","300","0.4","0.3","0.5","0.3","0.2","0.21","300","47103","17812","29291","0.6218499883234614","17812","12398","0.49602124867398234","0.5400902594324328"
"66","300","0.4","0.3","0.5","0.3","0.2","0.21","300","47537","17859","29678","0.624313692492164","17859","12507","0.4819737688355169","0.5436802903600713"
"72","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45590","18300","27290","0.5985961833735468","18300","12794","0.46547327256874876","0.5145781633072143"
"71","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45274","18189","27085","0.5982462340416133","18189","12719","0.465241580409319","0.5140424776589685"
"70","300","0.4","0.3","0.5","0.3","0.2","0.21","300","48209","17996","30213","0.6267087058433073","17996","12649","0.49249120868448026","0.5580863719565372"
"73","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45812","18296","27516","0.6006286562472715","18296","12764","0.4697597003449519","0.5185480776745766"
"74","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45421","18166","27255","0.6000528389951785","18166","12723","0.4731379810311659","0.5201569877338631"
"75","300","0.4","0.3","0.5","0.3","0.2","0.24","300","46013","18392","27621","0.6002868754482429","18392","12854","0.4578914692249193","0.524403919140915"
"76","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45838","18243","27595","0.6020114315633317","18243","12782","0.45989807209829964","0.5142049588314367"
"79","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45097","18066","27031","0.5993968556666741","18066","12606","0.4698910586749739","0.5125672251621962"
"77","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45373","18230","27143","0.5982192052542261","18230","12740","0.46581882376810463","0.5110212575619779"
"78","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45308","18221","27087","0.5978414408051558","18221","12725","0.4609825561855275","0.5153108693440115"
"81","300","0.4","0.3","0.5","0.3","0.2","0.27","300","44201","18628","25573","0.5785615710051809","18628","13058","0.4414948797227404","0.49658700834234604"
"88","300","0.4","0.3","0.5","0.3","0.2","0.27","300","44022","18537","25485","0.5789150879105902","18537","12920","0.44907355316320025","0.49307013589630355"
"80","300","0.4","0.3","0.5","0.3","0.2","0.24","300","45681","18277","27404","0.599899301679035","18277","12726","0.46703597335659275","0.5178223047505829"
"84","300","0.4","0.3","0.5","0.3","0.2","0.27","300","44739","18745","25994","0.5810143275442008","18745","13137","0.4485745180440484","0.4955404135296276"
"82","300","0.4","0.3","0.5","0.3","0.2","0.27","300","44761","18758","26003","0.58092982730502","18758","13098","0.4403578888953544","0.5049610170341884"
"92","300","0.4","0.3","0.5","0.3","0.2","0.3","300","43345","18963","24382","0.5625100934363825","18963","13256","0.4290118485986775","0.4813535076590564"
"83","300","0.4","0.3","0.5","0.3","0.2","0.27","300","44984","18893","26091","0.5800062244353548","18893","13155","0.4543424739291575","0.508589230449569"
"94","300","0.4","0.3","0.5","0.3","0.2","0.3","300","42713","18645","24068","0.5634818439351017","18645","13144","0.4287254952081034","0.4804212271758817"
"95","300","0.4","0.3","0.5","0.3","0.2","0.3","300","43177","18899","24278","0.5622901081594367","18899","13278","0.4271931923877625","0.48003103784285095"
"85","300","0.4","0.3","0.5","0.3","0.2","0.27","300","43977","18386","25591","0.5819178206789913","18386","12834","0.44986777412274137","0.4957839821174474"
"87","300","0.4","0.3","0.5","0.3","0.2","0.27","300","44372","18733","25639","0.5778193455332191","18733","13180","0.4586619603510825","0.5049809815871203"
"86","300","0.4","0.3","0.5","0.3","0.2","0.27","300","44152","18566","25586","0.5794980974814278","18566","12984","0.44787474616300554","0.4922362398039162"
"96","300","0.4","0.3","0.5","0.3","0.2","0.3","300","43094","18754","24340","0.5648118067480392","18754","13157","0.4344907208535723","0.48132308894222103"
"93","300","0.4","0.3","0.5","0.3","0.2","0.3","300","42921","18735","24186","0.5635003844272035","18735","13152","0.42209922101870984","0.4749726507782725"
"90","300","0.4","0.3","0.5","0.3","0.2","0.27","300","43932","18483","25449","0.5792816170445233","18483","12945","0.440671530627091","0.4940156253078489"
"89","300","0.4","0.3","0.5","0.3","0.2","0.27","300","43902","18591","25311","0.57653409867432","18591","13144","0.44650148554013136","0.49448855007764064"
"97","300","0.4","0.3","0.5","0.3","0.2","0.3","300","43283","18901","24382","0.5633158514890373","18901","13295","0.42095204098489236","0.4783962596761113"
"91","300","0.4","0.3","0.5","0.3","0.2","0.3","300","43098","18888","24210","0.5617430043157455","18888","13253","0.42573549544972683","0.4843811705599747"
"98","300","0.4","0.3","0.5","0.3","0.2","0.3","300","43269","18890","24379","0.5634287827312857","18890","13287","0.4299882966026036","0.48138901470862694"
"99","300","0.4","0.3","0.5","0.3","0.2","0.3","300","42982","18803","24179","0.562537806523661","18803","13100","0.44428591439010023","0.48331215601233274"
"100","300","0.4","0.3","0.5","0.3","0.2","0.3","300","43195","18815","24380","0.5644171779141104","18815","13199","0.4237034866973589","0.47234315197109195"
"101","300","0.4","0.3","0.5","0.3","0.2","0.33","300","41625","18823","22802","0.5477957957957958","18823","13101","0.4249296925250889","0.47144151854475536"
"103","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42311","19223","23088","0.5456737018742172","19223","13404","0.43779604192135857","0.48107204270105636"
"102","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42178","19075","23103","0.5477500118545213","19075","13372","0.40506937495342776","0.4689865279165354"
"105","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42253","19244","23009","0.5445530494876103","19244","13427","0.42143152087183966","0.4759375889261661"
"104","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42454","19069","23385","0.5508314881989919","19069","13428","0.4154266661115847","0.47589844690269134"
"108","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42296","19163","23133","0.5469311518819746","19163","13355","0.41315420543218623","0.46598793821724965"
"106","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42217","19121","23096","0.5470781912499704","19121","13352","0.41999652196313375","0.4763206101383711"
"107","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42178","19038","23140","0.5486272464317891","19038","13334","0.418595487204513","0.4659711998424416"
"109","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42170","19286","22884","0.542660659236424","19286","13475","0.41633310121871675","0.47576115448603634"
"110","300","0.4","0.3","0.5","0.3","0.2","0.33","300","42422","19137","23285","0.5488897270284286","19137","13403","0.4108519684907232","0.47258587840998595"
